"2350a2b0-98ed-0132-aa4a-58d385a7b928",41781,"The old curiosity shop. A tale","The old curiosity shop. A tale","Dickens, Charles, 1812-1870 | Cattermole, George, 1800-1868 | Browne, Hablot Knight, 1815-1882 | Kyd, 1856 or 7-1937","1841",1841,"","English","","Source of Acquisition Note: 451572B.","","","","","","text | still image","Book illustrations","b14172913","","*KL (Dickens, C. Old curiosity shop)","","","","","","","3 p.l., 306 [i.e.228], 223 (1) p. illus. 27 cm.","","Chapman and Hall","London",1,"http://digitalcollections.nypl.org/collections/2350a2b0-98ed-0132-aa4a-58d385a7b928"
"4a65ded0-99af-0132-f9f8-58d385a7bbd0",41784,"From nowhere to the North Pole: a Noah's ark-æological narrative","","Hood, Tom, 1835-1874 | Brunton, William, d. 1878","1875",1875,"","English","","Statement of Responsibility Note: by Tom Hood ; with illustrations by W. Brunton and E.C. Barnes.","Fairy tales","","","","","text | still image","","b13164118","","NCW (Hood, T. From nowhere to the North Pole)","","","","","","","viii, 232 p., [6] p. : ill. ; 23 cm.","","Chatto and Windus","London",1,"http://digitalcollections.nypl.org/collections/4a65ded0-99af-0132-f9f8-58d385a7bbd0"
"92b8aa40-9a91-0132-06d3-58d385a7b928",41786,"Thomas Jefferson papers","","Jefferson, Thomas, 1743-1826 | Brown, James, 1766-1835 | Madison, James, 1751-1836 | Minor, Lancelot, 1763-1848 or 9 | Monroe, James, 1758-1831 | Page, John, 1744-1808 | Pendleton, Edmund, 1721-1803 | Purviance, Robert | Webster, Noah, 1758-1843",1766,1766,1826,"English","Thomas Jefferson (1743-1826) was a Founding Father, statesman, lawyer, and planter. He is considered the principal author of the Declaration of Independence. Jefferson held numerous political offices throughout his career including representative from Virginia in the Second Continental Congress, Governor of Virginia, Minister to France, Secretary of State under George Washington, Vice President of the United States under John Adams, and President of the United States from 1801-1809. The Thomas Jefferson papers, dated 1766-1826, cover Jefferson's career as a statesman, lawyer, and plantation owner. The bulk of the collection consists of outgoing correspondence, 1766 and 1783-1826, concerning Jefferson's thoughts on the formation of a new government, naval and shipping issues, the growth and sale of tobacco on his plantation, and personal and business matters. Correspondents include John Page, James Madison, James Monroe, Edmund Pendleton, Robert Purviance, and Noah Webster. Additional documents notably include Jefferson’s draft of a proposed amendment to the Constitution on the purchase of the Louisiana Territory, containing notes penciled by James Madison, as well as Jefferson's 1771 list of suggested books for a private library. Also present are legal documents, drafts, notes, and autographs.","Funding Information Note: Digitization was made possible by a lead gift from The Polonsky Foundation.","Louisiana Purchase | Presidents","","France | Foreign relations | United States | History | Revolution, 1775-1783 | Politics and government | 1783-1865 | Virginia | 1775-1865","","","text","Documents | Correspondence","b12396674","","MssCol 1557","","","","","","","1.86 linear feet (1 box, 1 oversized folder)","","","",58,"http://digitalcollections.nypl.org/collections/92b8aa40-9a91-0132-06d3-58d385a7b928"
"5c859480-9b81-0132-d16e-58d385a7b928",41788,"Mikhail Mordkin Papers","","","","","","","","","","","","","","","","b13659472","","(S) *MGZMD 98","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/5c859480-9b81-0132-d16e-58d385a7b928"
"7c8d4cc0-9db5-0132-73a2-58d385a7b928",41790,"Blackwork ornament designs for gold- and silversmiths","Sic vos, non vobis","Toutin, Jean, 1578-1644",1618,1618,1619,"","Series of 6 engravings by Toutin, depicting jewelry designs in blackwork  incorporating ""pea-pod"" motifs, with vignettes in conventional line engraving, including a crowned king and castle, musicians, a goldsmith and genre scenes; some with additional ornaments and figures of insects, flowers, etc. Numbered in plate: 1-2, III, 4-6. Plate marks: ca. 11 x 8 cm.. Toutin published another similar series; the 2 series were copied as a single series by Jacob van der Heyden in Strasbourg. On plate 1, in banderole at top of image: ""Sic vos, non vobis""; in cartouche formed by goat's horns in center of image: ""1619. Si quid melius videris."" Imprint from plate 1; identification of Toutin as engraver from sources cited. Prints are dated in plate 1618 (no. 6) or 1619 (no. 1-5; another state of plate 5 is known, lacking number and dated 1618). ""Blackwork"" here refers to a style of ornamental engravings executed in Northern Europe between the 1580s and the 1620s to provide enameling designs for jewelers; chief distinguishing characteristic is the inclusion of areas of solid black. The style was formerly known in English as niello (distinct from the earlier Italian engraving style) or silhouette style. Cf. Christie, R. ""Blackwork prints : designs for enamelling,"" in Print quarterly, v. 5, no. 1 (Mar. 1988), p. 4-20.","Source of Acquisition Note: Purchase; Susan Schulman, Printseller; 2011/11/08","Decoration and ornament, Baroque | Jewelry | Design | Enamel and enameling","","France","","","still image","Pattern books | Prints","b19658544","","Spencer Coll. French 1614 12-94","","","","","","801718342","6 prints : engraving ; 13 x 12 cm.","Engravings","J. Toutin","A Chasteaudun | Châteaudun (France)",1,"http://digitalcollections.nypl.org/collections/7c8d4cc0-9db5-0132-73a2-58d385a7b928"
"b2d0ebf0-9e96-0132-a85d-58d385a7b928",41793,"Designs for richly ornamented dishes with medallions","","Bry, Theodor de, 1528-1598",1577,1577,1578,"","","","Decoration and ornament | Patterns (Design elements) | Medallions (Ornament areas)","","","","","still image","Prints","","","MEPC","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/b2d0ebf0-9e96-0132-a85d-58d385a7b928"
"1f8647b0-9f55-0132-ec41-58d385a7bbd0",41794,"The Ladies' companion","Ladies companion, and literary expositor","Poe, Edgar Allan, 1809-1849",1934,1934,1944,"English","""A monthly magazine, embracing every department of literature embellished with original engravings, and music arranged for the piano-forte, harp and guitar.""","Additional Physical Form available Note: Available on microfilm from University Microfilms (American periodical series: 1800-1850)","","","","","","text | still image | notated music","Periodicals","b15094588","","*DA (Ladies' Companion)","","","","","","","21 v. : ill., music ; 26 cm.","","William W. Snowden","New York, N.Y",1,"http://digitalcollections.nypl.org/collections/1f8647b0-9f55-0132-ec41-58d385a7bbd0"
"0450bba0-a00d-0132-4665-58d385a7b928",41795,"An account of Sir Isaac Newton's philosophical discoveries: in four books","","MacLaurin, Colin, 1698-1746 | Murdoch, Patrick, -1774 | Newton, Isaac, 1642-1727","1748",1748,"","English","""An account of the life and writings of the author"": p. [i]-xx.","Statement of Responsibility Note: By Colin Maclaurin ... Published from the author's manuscript papers, by Patrick Murdoch.","","Newton, Isaac, 1642-1727","","","Principia","text | still image","","b13741661","","PAD (Maclaurin, C. Account of Sir Isaac Newton's philosophical discoveries)","","","","","","","4 p.l., xx, [20], 392 p. fold. diagrs. 30 cm.","","Printed for the author's children: and sold by A. Millar, and J. Nourse; [etc., etc.]","London",1,"http://digitalcollections.nypl.org/collections/0450bba0-a00d-0132-4665-58d385a7b928"
"8f3f30c0-a034-0132-e7f4-58d385a7bbd0",41797,"Charles Lutwidge Dodgson collection of papers, [1851?]-1932 bulk (1864-1897)","","Dodgson, Charles Lutwidge, 1832-1898 | Fletcher, Frank, 1870-1954 | Carroll, Lewis, 1832-1898",1851,1851,1932,"English","This is a synthetic collection consisting of manuscripts, correspondence, and pictorial works. The manuscripts include poems, stories, and mathematical studies. The bulk of the collection consists of correspondence by the author, dating from 1864 to 1897, Florence Balfour Foster, Alice Liddell Hargreaves, Beatrice Hatch, Edith Morley, and others, as well as letters relating to the author, dating from 1870 to 1932, between various correspondents including George Lillie Craik, Florence Balfour Foster, John Galsworthy, Alice Liddell Hargreaves, W. T. Spencer, and others. There are letters from Dante Gabriel Rossetti and from Christina Rossetti to Dodgson, dating from 1864 and 1865. The pictorial works consist primarily of illustrations by Harry Furniss, E. W. Kemble, and Sir John Tenniel for publication of the author's works, including ""Sylvie and Bruno,"" ""Alice in Wonderland,"" and ""Through the Looking-Glass."".","Note: Inventory list and card catalog available in repository.","","Carroll, Lewis, 1832-1898","","","","text | still image | three dimensional object","Archival materials","b15887349","","Berg Coll MSS Dodgson","","","","","","","165 items.","Correspondence | Pictorial works","","",3,"http://digitalcollections.nypl.org/collections/8f3f30c0-a034-0132-e7f4-58d385a7bbd0"
"4845efd0-a0d0-0132-0c04-58d385a7bbd0",41798,"Voyage de Paris dans l'Amérique du Sud. Poussé jusqu'au Hâvre inclusivement","","Cham, 1819-1879","1845",1800,1899,"French","","Statement of Responsibility Note: [Par] Cham (de N ... )","Caricatures and cartoons | French wit and humor","","France","","","still image","","b13996953","","MEM+ N763v (Noé, A. de. Voyage de Paris dans l'Amérique du Sud)","","","","","","","22 pl. fol.","","A. de Vresse","Paris",1,"http://digitalcollections.nypl.org/collections/4845efd0-a0d0-0132-0c04-58d385a7bbd0"
"2ab7cd50-a0d8-0132-4e69-58d385a7bbd0",41799,"Habitvs Præcipvorvm Popvlorvm, Tam Virorvm Qvam fœminarum Singulari arte depicti. Trachtenbuch: Darin fast allerley und der fürnembsten Nationen, die heutigs tags bekandt sein, Kleidungen, beyde wie es bey Manns und Weibspersonen gebreuchlich, mit allem vleiss abgerissen sein, sehr lustig und kurtzweilig zusehen","Habitvs Præcipvorvm Popvlorvm, Tam Virorvm Qvam fœminarum Singulari arte depicti. Trachtenbuch: Darin fast allerley und der fürnembsten Nationen, die heutigs tags bekandt sein, Kleidungen, beyde wie es bey Manns und Weibspersonen gebreuchlich, mit allem vleiss abgerissen sein, sehr lustig und kurtzweilig zusehen","Weigel, Hans, 1549-ca. 1578 | Amman, Jost, 1539-1591","1577",1577,"","Latin","Illustrations: 220 woodcuts and two historiated borders enclosing the title and last cut. All but the last cut are full-length figures of men and women.","Source Identifier Note: The Rahir copy.","Costumes","","","","","text | still image","Prints | Clothing & dress | Book illustrations","b16833090","","Spencer Coll. Ger. 1577","","","","","","","4 l., 220 pl. f̕.","Woodcuts","Gedruckt bey Hans Weigel Formschneider","Nürmberg",2,"http://digitalcollections.nypl.org/collections/2ab7cd50-a0d8-0132-4e69-58d385a7bbd0"
"7cf43260-a5b8-0132-dcbb-58d385a7b928",41820,"George Chalmers collection","","Chalmers, George, 1742-1825",1606,1606,1817,"English","George Chalmers (1742-1825) was a British historian, civil servant, and author. He was a lawyer in Baltimore until the American Revolutionary War. After he returned to England, his positions included chief clerk at the Office for Trade in London and colonial agent for the Bahamas. He wrote biographies, poetry and pamphlets on the American colonies and collected a large library of books and manuscripts. The George Chalmers collection, dated 1606-1817, consists of documents relating to the American colonies, writings, and correspondence. Documents include materials on Canada, the Carolinas, Connecticut, Georgia, Maryland, New York, Pennsylvania, Rhode Island, Virginia, West Florida, and Indians in North America. Also included are notes for a history of the revolt of the colonies, introductory volume about America under George II, and related materials.","Ownership and Custodial History Note: This collection was originally part of the library of George Chalmers. When Chalmers died in 1825, the library was inherited by his nephew, James Chalmers, and kept intact until his death in 1841. James Chalmers' sister then sold the original Chalmers library to Messrs. Evans, dealers in London. A large portion was purchased by London bookseller Thomas Thorpe, and Colonel Thomas Aspinwall purchased a number of volumes pertaining to the American colonies from him in 1843. Samuel L. M. Barlow later purchased the Aspinwall volumes, which were purchased by the Lenox Library in 1890 after Barlow's death. The remainder of the volumes were purchased from the estate of George Bancroft in 1893.","History | Colonies | Indians of North America","","Canada | Connecticut | Florida | Georgia | Great Britain | America | Maryland | New York (State) | North Carolina | Nova Scotia | Pennsylvania | Rhode Island | South Carolina | United States | Virginia","1763-1867 | To 1763 (New France) | Colonial period, ca. 1600-1775 | To 1763","","text","Documents","b11822957","","MssCol 507","","","","","","NYPW93-A180","4.01 linear feet (2 boxes, 27 volumes, 2 oversized folders)","","","",9,"http://digitalcollections.nypl.org/collections/7cf43260-a5b8-0132-dcbb-58d385a7b928"
"d446b300-ab05-0132-bbd9-58d385a7b928",41831,"Vogue pattern book","International Vogue pattern book","",1925,1925,1972,"English","","Source Note: Title varies: Oct. 1925-July, 1927, Vogue fashion bi-monthly; Vogue pattern book international, Feb/Mar. 1969-Apr/May, 1970; International Vogue pattern book, Feb./Mar. 1968-Dec. 1968/Jan. 1969, Jun./Jul. 1970-Dec. 1971/Jan. 1972.","Dressmaking | Periodicals | Patterns (Design elements)","","","","","still image | text","Periodicals | Illustrated periodicals","b10256668","","N-10 93","","","","","","","illus. 29-23 cm.","","The Condé Nast Publications","Greenwich, Conn",1,"http://digitalcollections.nypl.org/collections/d446b300-ab05-0132-bbd9-58d385a7b928"
"298cc4a0-ab0c-0132-8959-58d385a7bbd0",41833,"McCall pattern book","","",1913,1913,1958,"English","","Note: Vol. for 1928 includes separately paged supplment called McCall needlework and decorative arts.","Dressmaking | Patterns | Fashion | Periodicals","","","","","still image","Periodicals | Periodical illustrations","b11651185","","VSA+ (McCall fashion book)","","","","","","","v. ill. 28-35 cm.","","McCall Co.","New York",2,"http://digitalcollections.nypl.org/collections/298cc4a0-ab0c-0132-8959-58d385a7bbd0"
"836c3800-ab18-0132-5924-58d385a7bbd0",41834,"Ritratto Di Roma Moderna: All'Eminentiss. e Reuerendiss. Sig.re il Sig. Card: Antonio Barberino","","Totti, Pompilio","1638",1638,"","Italian","","General Note: Illustrations: Engraved t. p., signed CL, with arms of the dedicatee and allegories of Rome, and 81 nearly full-page engravings, some signed CL or SV; one full-page and numerous small woodcuts (coins, medallions, etc.). Many are repeated from Totti's Ritratto di Roma antica, 1627, 1633.","Engraving, Italian | Specimens | Wood-engraving, Italian | Guidebooks","","Rome (Italy)","17th century","","text","Guidebooks","b10675871","","Spencer Coll. Ital. 1638 80-189","","","","","","","[28], 531, [1] p. illus. 17 cm.","","per il Mascardi, Ad Instanza di Pompilio Totti","In Roma",1,"http://digitalcollections.nypl.org/collections/836c3800-ab18-0132-5924-58d385a7bbd0"
"ff2a6380-abdd-0132-e541-58d385a7bbd0",41836,"Albrecht Dürer: prints","","Dürer, Albrecht, 1471-1528",1496,1496,1523,"","","","","","","","","still image","Prints","","","MEOG","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/ff2a6380-abdd-0132-e541-58d385a7bbd0"
"93c237c0-b148-0132-fb84-58d385a7bbd0",41840,"Josephine Butler collection of music covers","","","","","","","","","","","","","","","","b19758821","","*MGZFX Mus 1-26","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/93c237c0-b148-0132-fb84-58d385a7bbd0"
"1a958590-b173-0132-b1d5-58d385a7b928",41844,"Rembrandt van Rijn: prints","","Rembrandt Harmenszoon van Rijn, 1606-1669",1628,1628,1658,"","","","","","","","","still image","Prints","","","MEYK","","","","","","","","","","",3,"http://digitalcollections.nypl.org/collections/1a958590-b173-0132-b1d5-58d385a7b928"
"2bcf3c80-b557-0132-927d-58d385a7b928",41849,"Commercium epistolicum D. Johannis Collins: et aliorum, de analysi promota, jussu Societatis Regiæ in lucem editum: et jam unà cum ejusdem recensione præmissa, & judicio primarii, ut ferebatur, mathematice subjuncto, iterum impressum","","Collins, John, 1625-1683 | Royal Society (Great Britain)","1722",1722,"","Latin","","","","","","","","text","","b13741662","","OEG (Collins, J. Commercium Epistolicum, de Analysi promota)","","","","","","","[viii], 251 p. 20 cm.","","Mack-Euen","Londini",1,"http://digitalcollections.nypl.org/collections/2bcf3c80-b557-0132-927d-58d385a7b928"
"3ed90a70-b55d-0132-b90f-58d385a7b928",41850,"Pierre Bonnard: prints","","Bonnard, Pierre, 1867-1947",1893,1893,1925,"","","","","","","","","still image","Prints","","","MEST","","","","","","","","Lithographs","","",2,"http://digitalcollections.nypl.org/collections/3ed90a70-b55d-0132-b90f-58d385a7b928"
"6ce49910-b923-0132-977d-58d385a7b928",41853,"The Orcharde of Syon, in the whiche is conteyned the revelacyons of seynt Katheryne of Sene, with ghostly fruytes & precyous plantes for the helthe of mannes soul","The Orcharde of Syon, in the whiche is conteyned the revelacyons of seynt Katheryne of Sene, with ghostly fruytes & precyous plantes for the helthe of mannes soul","Catherine, of Siena, Saint, 1347-1380 | Worde, Wynkyn de, d. 1534?","1519-09-28",1519,"","English, Middle (1100-1500)","","","Revelation | Christianity","","","","","text | still image","Religious books | Early printed books","","","Spencer Coll. Eng. 1519","","","","","","","175 leaves; Overall: 27.8 x 20 x 3.5 cm (10 15/16 x 7 7/8 x 1 3/8 in.)","","Wynkyn de Worde","London?",1,"http://digitalcollections.nypl.org/collections/6ce49910-b923-0132-977d-58d385a7b928"
"e34bd710-bab9-0132-b136-58d385a7b928",41856,"The doctrine and discipline of divorce: restor'd to the good of both sexes, from the bondage of canon law, and other mistakes, to Christian freedom, guided by the rule of charity. Wherein also many places of Scripture, have recover'd their long-lost meaning. Seasonable to be now thought on in the Reformation intended","","Milton, John, 1608-1674","1643",1643,"","English","","","Divorce | Marriage law","","","","","text","","","","Berg Collection Milton","","","","","","","1 p. l., 48 p., 1 l. 19 cm.","","Printed by T.P. and M.S.","London",1,"http://digitalcollections.nypl.org/collections/e34bd710-bab9-0132-b136-58d385a7b928"
"18640050-badd-0132-172e-58d385a7b928",41861,"Ellen: or, Whisperings of an old pine","Whisperings of an old pine","Battell, Joseph, 1839-1915",1903,1903,1908,"English","","Statement of Responsibility Note: by Joseph Battell.","","","","","","text","Books","b13725788","","OAZ (Battell, J. Ellen. 1903)","","","","","","6276849","2 v. fronts., illus., plates, diagrs. 24 cm.","","American Publishing Company","Middlebury, Vt",2,"http://digitalcollections.nypl.org/collections/18640050-badd-0132-172e-58d385a7b928"
"c59ab3a0-bc60-0132-4f78-58d385a7b928",41864,"The Cuba review and bulletin","Cuba review & bulletin","Munson Steamship Line",1903,1903,1930,"English","","Date/Sequential Designation Note: Monthly","","","Cuba","","","text | still image","Periodicals","b14943257","","HOB (Cuba bulletin)","","","","","","8877293","v. : ill. ; 24 cm.","","Munson Steamship Line","New York, N.Y",1,"http://digitalcollections.nypl.org/collections/c59ab3a0-bc60-0132-4f78-58d385a7b928"
"120d5700-bc71-0132-ca35-58d385a7bbd0",41865,"Bonfanti, Maria, 1847-1921 Photographic albums","","Bonfanti, Maria, 1847-1921",1860,1860,1914,"","The albums contain photographs, carte-da-visite photographs, and postcards, and include portraits and publicity photographs of the ballerina as well as numerous photographs of members of her family and of her husband George Hoffman, an American businessman. Also included are postcard views and photographs of Milan and other Italian cities.","Bibliography, etc. Note: Bonfanti, an Italian ballerina, came to the United States in 1866.","Dancers","Bonfanti, Maria, 1847-1921","","19th century","","still image","Scrapbooks | Photographs","b12172443","","*MGZEB 86-58","","","","","","NYPY926052109-F","2 v. ; 31 cm.","Photograph albums","","",1,"http://digitalcollections.nypl.org/collections/120d5700-bc71-0132-ca35-58d385a7bbd0"
"7bed36b0-be9b-0132-3be6-58d385a7b928",41866,"Paradise lost: A poem written in ten books","","Milton, John, 1608-1674","1667",1667,"","","","","","","","","","still image","","","","Berg Coll Milton","","","","","","","19 cm.","","Printed, and are to be sold by Peter Parker under Creed Church neer Aldgate; and by Robert Boulter at the Turks Head in Bishopsgate-street; and Matthias Walker, under St. Dunstons Church in Fleet-street","London",1,"http://digitalcollections.nypl.org/collections/7bed36b0-be9b-0132-3be6-58d385a7b928"
"ecf40670-bf8a-0132-9aed-58d385a7b928",41868,"John Gadsby Chapman: prints","","Chapman, J. G. (John Gadsby), 1808-1889","","","","","","","","","","","","","Prints","","","MEYK","","","","","","","","","","",2,"http://digitalcollections.nypl.org/collections/ecf40670-bf8a-0132-9aed-58d385a7b928"
"e1622510-caa2-0132-7b20-58d385a7b928",41882,"Philip Mazzei papers","","Mazzei, Filippo, 1730-1816 | Harrison, Benjamin, ca. 1726-1791 | Jefferson, Thomas, 1743-1826 | Page, John, 1744-1808",1775,1775,1785,"English | French","Filippo Mazzei (1730-1816), also known as Philip Mazzei, was an Italian physician, merchant, and agriculturist who served as state agent for Virginia in Europe during the American Revolution, from 1779 to 1782. The Philip Mazzei papers, dated 1775-1785, consist of letters and writings by Mazzei pertaining to his service as state agent for Virginia in Europe, 1779-1783, and letters to his friend and business associate John Page of Rosewell, Virginia, 1775-1785. Letters sent by Mazzei to Virginia governors Thomas Jefferson, 1779-1781, and Benjamin Harrison, 1782, along with two related narratives, describe his attempts to obtain aid for Virginia in the form of loans and supplies and to generally serve the American cause, as seen in his accounts of his social and business engagements and efforts to gather useful intelligence. Related writings consist of Mazzei’s narrative of his capture and imprisonment by the British in 1779, and a comprehensive summary of his work and correspondence in Europe, particularly in France and Italy, from 1779 until his return to Virginia in 1783. Letters to John Page concern Mazzei’s experience with viticulture in Virginia, difficulties with his work in Europe, and personal matters.","Funding Information Note: Digitization was made possible by a lead gift from The Polonsky Foundation.","Politics and government | Foreign relations | History | Foreign public opinion | Personal narratives | Prisoners and prisons | Viticulture","Mazzei, Filippo, 1730-1816","Europe | France | Italy | United States | Virginia","1775-1783 | 18th century | Revolution, 1775-1783","","text","Correspondence | Documents | Manuscripts","b12396684","","MssCol 1927","","","","","","",".21 linear feet 1 volume","","","",26,"http://digitalcollections.nypl.org/collections/e1622510-caa2-0132-7b20-58d385a7b928"
"4345b0f0-cb2b-0132-27cb-58d385a7b928",41884,"Richard Henry Lee letters","","Lee, Charles, 1758-1815 | Lee, William, 1739-1795 | Page, John, 1744-1808 | Lee, Richard Henry, 1732-1794 | Deane, Silas, 1737-1789 | Lee family",1771,1771,1793,"English","Richard Henry Lee (1732-1794), American statesman, was a signer of the Declaration of Independence and the Articles of Confederation. He represented Virginia in the Continental Congress and later in the United States Senate. The Richard Henry Lee letters, dated 1773-1793, are written mainly to family members, including his brother William Lee, and chiefly concern mercantile affairs, family matters and political or military news of the day. A letter to kinsman Charles Lee, August 31, 1779, discusses international alliances and mentions his brother Arthur Lee's interest in bringing a libel suit against Silas Deane for his published Address of December 5, 1778. Letters to other correspondents include a 1778 letter to Virginia statesman John Page, discussing British and American military movements and France's entry in the war, and a 1781 letter to an unidentified recipient suggesting means to secure a loan from Holland to help defray Virginia's war costs. Also present are Richard Henry Lee's letter of March 26, 1787 declining the position of delegate at the Constitutional Convention, and his resignation from the United States Senate, October 8, 1792, both letters citing poor health.","Funding Information Note: Digitization was made possible by a lead gift from the Polonsky Foundation.","Merchants | History | Politics and government","Deane, Silas, 1737-1789 | Lee, Richard Henry, 1732-1794 | Lee family","Virginia | United States","18th century | Revolution, 1775-1783 | 1775-1783","","text","correspondence","b19984005","","MssCol 4522","","","","","","",".1 linear feet 1 folder","","","",17,"http://digitalcollections.nypl.org/collections/4345b0f0-cb2b-0132-27cb-58d385a7b928"
"436f0bf0-cf39-0132-e8ee-58d385a7b928",41886,"Opera philosophica et mineralia","Opera philosophica et mineralia","Swedenborg, Emanuel, 1688-1772","1734",1734,"","Latin","","","","","","","","still image | text","","b13757737","","PWF+ (Parsons) (Swedenborg, E. Opera philosophica et mineralia)","","","","","","39613998","3 v. in 2. fol.","","F. Hekelius","Dresdæ",1,"http://digitalcollections.nypl.org/collections/436f0bf0-cf39-0132-e8ee-58d385a7b928"
"96a3f7b0-d01a-0132-bb27-58d385a7b928",41888,"Boston Committee of Correspondence records","","Boston Committee of Correspondence | Adams, Samuel, 1722-1803 | Church, Benjamin, 1734-1778 | Cooper, William, 1720-1809 | Otis, James, 1725-1783 | Quincy, Josiah, 1744-1775 | Warren, Joseph, 1741-1775 | Young, Thomas, 1732-1777",1772,1772,1784,"English","The Boston Committee of Correspondence was formed at the Boston Town Meeting of November 2, 1772 in response to the British government’s decision to pay the governor and Superior Court judges of Massachusetts with Crown stipends, thereby making them dependent on the Crown rather than the people in assembly. With the participation of Samuel Adams and others, the Committee prepared statements of the colonists’ rights and the violation of those rights by Great Britain, and sent them to other Massachusetts towns in pamphlet form, asking for their support and advice. In response to what became known as the Boston Pamphlet, similar committees formed in towns across Massachusetts and in other American colonies, helping to create a network of colonial communication ultimately leading to independence from Great Britain. The Boston Committee of Correspondence records, dated 1772-1784, document the Committee’s initiatives in colonial political action in Massachusetts, from the writing of the Boston Pamphlet in November 1772 through the early months of war with Great Britain in 1775, as well as the Committee's contact with other colonies. The records also document its continued work as the Committee of Correspondence, Inspection and Safety, 1777-1784, largely concerned with investigating suspected enemies of the American cause.","Funding Information Note: Digitization was made possible by a lead gift from The Polonsky Foundation.","History | Politics and government | Causes | Committees of correspondence | American loyalists","","Massachusetts | United States","Colonial period, ca. 1600-1775 | Revolution, 1775-1783 | 1775-1783 | To 1775","","text","Documents | minute books","b14421947","","MssCol 343","","","","","","","2.4 linear feet 8 boxes, 1 oversized folder","","","",258,"http://digitalcollections.nypl.org/collections/96a3f7b0-d01a-0132-bb27-58d385a7b928"
"c480ee40-d4be-0132-8339-58d385a7b928",41891,"Silas Deane letters","","Deane, Silas, 1737-1789 | Cushing, Thomas, 1725-1788 | Mumford, Thomas, 1728-1799 | Webb, Samuel Blachley, 1753-1807 | Webb, Sarah",1767,1767,1785,"English","Silas Deane (1737-1789) was an American lawyer and merchant, member of the Continental Congress from Connecticut, 1774-1776, and Congressional agent and diplomat in France, 1776-1778. Recalled in 1778 under controversial circumstances, Deane returned to Europe in 1780 as a private citizen and died in 1789 en route to America. Silas Deane letters, dated 1767-1785, are addressed to his stepchildren Sarah (Sally) Webb and Samuel Blachley Webb, and friends Thomas Mumford and Thomas Cushing, New England merchants and politicians. Letters to Sally in Boston, 1767-1769, mention her mother's illness and offer advice for Sally's education and self-improvement. His 1778 letter to Thomas Cushing in Boston asks him to assist Sally, now the widow of John Simpson, a Loyalist. Letters written at Philadelphia to Thomas Mumford in Connecticut, 1774-1775, tell of Congressional business and colonial disputes, his participation in the Secret Committee to obtain support from Europe, and the need to develop an American naval force. Deane's letter of July 16, 1785 at London to Samuel Blachley Webb gives a careful study of American commercial prospects and Great Britain's rising manufacturing economy. A letter dated March 7, 1779 addressing ""my Dear Col[onel],"" and referring to an exchange, may be addressed to Samuel Blachley Webb, at that time an American army colonel and prisoner of war.","Funding Information Note: Digitization was made possible by a lead gift from The Polonsky Foundation.","Commerce | Social life and customs | History | Politics and government","Deane, Silas, 1737-1789","Great Britain | United States | New England","to 1775 | Revolution, 1775-1783 | 1775-1783","","text","Correspondence","b19840587","","MssCol 4310","","","","","","",".1 linear feet 1 folder","","","",11,"http://digitalcollections.nypl.org/collections/c480ee40-d4be-0132-8339-58d385a7b928"
"f5f343a0-d4be-0132-abae-58d385a7b928",41892,"Henry Knox papers","","Knox, Henry, 1750-1806 | Jackson, Henry, 1747-1809 | Jefferson, Thomas, 1743-1826 | Pickering, Timothy, 1745-1829 | United States. War Department",1779,1779,1800,"English","Henry Knox (1750-1806), United States Army general, was chief artillery officer of the Continental Army during the Revolutionary War, and first United States Secretary of War from 1789 to 1794. The Henry Knox papers consist of letters sent by Knox to military officers and government officials on various matters, as well as a few personal letters and miscellaneous military documents. The bulk of the letters are written in his capacity as Secretary of War, mainly to state governors and U.S. Commissioners of Loans in several states. These concern strengthening frontier defense, pension payments to invalid soldiers, and instructions on naval matters such as the repatriation of prizes seized by proscribed privateers and maintaining the embargo of 1794. Letters written during the Revolutionary War, chiefly to Army Quartermaster General Timothy Pickering, concern requests for ordnance, horses and drivers, and payroll matters. Personal letters to General Henry Jackson and M.M. Hays pertain to Knox's land purchases and related debt. A letter to U.S. Vice President Thomas Jefferson dated March 9, 1800 introduces Mr. Pope, inventor of improvements to a horizontal wind mill, and expresses disappointment with the path of his son Henry's naval career. Documents signed by Knox consist of a certificate of debt settlement and military discharge, and a warrant to survey land for a soldier's military bounty.","Source of Acquisition Note: Donated by John S. Kennedy, 1896, as part of the Emmet collection, and J. Pierpont Morgan, 1899, as part of the Ford collection, and purchase, 1941","Military pensions | History","Knox, Henry, 1750-1806 | United States. War Department","United States","Revolution, 1775-1783 | 1783-1815","","text","Correspondence | Documents | Autographs","b19975277","","MssCol 1661","","","","","","",".1 linear feet 1 folder","","","",32,"http://digitalcollections.nypl.org/collections/f5f343a0-d4be-0132-abae-58d385a7b928"
"2b332a20-e136-0132-f347-58d385a7bbd0",41918,"German master prints","","","","","","","","","","","","","","still image","Prints","","","","","","","","","","","","","",283,"http://digitalcollections.nypl.org/collections/2b332a20-e136-0132-f347-58d385a7bbd0"
